STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,INDUSTRY,Industry,TSEST,Adjustment Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-12,,6160.3,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-01,,5910.6,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-02,,5894.9,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-03,,5902.2,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-04,,5953.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-05,,5990.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-06,,6129,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-01,,4.5,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-02,,-0.9,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-03,,0,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-04,,1.7,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-05,,-0.6,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-06,,-2.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-07,,1.1,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-08,,0.9,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-09,,0.6,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-10,,-1.1,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-11,,1.3,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-12,,-4.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-01,,2.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-02,,4.6,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-03,,-4.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-04,,0.6,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-05,,1,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-06,,-0.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-07,,0.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-08,,1.3,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-09,,-0.1,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-10,,-0.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-11,,1.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-12,,-1.5,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-01,,2.2,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-02,,0.4,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-03,,-0.1,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-04,,-2.8,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-05,,3.5,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-06,,1.5,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-01,,5367.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-02,,5373.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-03,,5378,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-04,,5382.5,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-05,,5386,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-06,,5388.9,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-07,,5392.5,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-08,,5399.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-09,,5411.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-10,,5427.6,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-11,,5446.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2023-12,,5469,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,45,Other retailing,30,Trend,AUS,Australia,M,Monthly,2024-01,,5494.7,,AUD,Australian Dollars,6,Millions,,,,
